fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion				
20220925 013750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	99	TRUE	763381	0.270149591	0.721118063	712	319	8746	24350000	6				
20220925 014042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	763381	0.276396704	0.820554295	7645	769	12259	24290000	15				
20220925 014324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	763381	0.075262951	0.513285364	941	405	5371	24220000	17				
20220925 062349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1110	TRUE	763381	0.005682804	0.201138885	5950	1024	12943	24040000	113				
20220925 014447	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	763381	0.207699331	0.763199215	6015	243	7187	24030000	20				
20220925 061549	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1187	TRUE	763381	0.005007784	0.999031869	6579	1015	13556	23930000	111				
20220925 044828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	675	TRUE	763381	0.005220501	0.406781735	3077	16	5005	23910000	72				
20220925 054031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	763381	0.297598286	0.232833995	1934	16	6593	23860000	93				
20220925 060036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	763381	0.299440067	0.79700631	7994	1019	5075	23770000	103				
20220925 014015	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	763381	0.292766537	0.325562734	3050	317	12818	23730000	13				
20220925 025309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	494	TRUE	763381	0.010786454	0.220164578	8000	596	5018	23650000	36				
20220925 062859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	288	TRUE	763381	0.038536395	0.999553985	7999	16	5004	23600000	116				
20220925 062020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1866	TRUE	763381	0.008973518	0.221780209	3708	1024	14997	23450000	112				
20220925 051726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	763381	0.229897298	0.998949357	1708	1020	5007	23430000	82				
20220925 013849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	763381	0.23630466	0.921013518	3266	430	13577	23410000	9				
20220925 013955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	763381	0.117339004	0.962644817	50	112	11858	23090000	12				
20220925 013926	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	763381	0.129270972	0.599419905	7585	554	14922	22960000	11				
20220925 013804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	763381	0.21866218	0.528591791	5521	119	14331	22700000	7				
20220925 051914	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	176	TRUE	763381	0.049571284	0.285496562	17	1019	14995	21850000	83				
20220925 055300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	176	TRUE	763381	0.285938349	0.200744548	8	1013	5008	16790000	99				
